Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
LP001350,Male,Yes,3+,Not Graduate,No,4340.0,281.0,119.0,366.0,1.0,Rural
LP002393,Male,No,0,Graduate,Yes,0.0,518.0,164.0,463.0,1.0,Urban
LP002358,Male,No,2,Not Graduate,Yes,0.0,2332.0,190.0,352.0,0.0,Urban
LP001888,Male,Yes,2,Not Graduate,No,1538.0,4315.0,144.0,282.0,1.0,Urban
LP001369,Female,Yes,0,Graduate,Yes,7749.0,3681.0,186.0,382.0,1.0,Urban
LP001245,Female,No,0,Graduate,Yes,5990.0,2082.0,215.0,283.0,1.0,Rural
LP001455,Female,Yes,1,Graduate,Yes,8982.0,6059.0,114.0,294.0,0.0,Semiurban
LP001043,Female,No,1,Graduate,Yes,0.0,3394.0,228.0,312.0,0.0,Rural
LP001015,Male,Yes,3+,Not Graduate,No,5105.0,3789.0,66.0,341.0,1.0,Urban
LP001430,Male,Yes,3+,Not Graduate,No,14872.0,1159.0,188.0,287.0,1.0,Urban
LP002500,Male,Yes,0,Not Graduate,Yes,13139.0,551.0,145.0,369.0,1.0,Rural
LP001716,Female,No,0,Not Graduate,No,0.0,2624.0,156.0,320.0,1.0,Rural
LP002097,Male,No,1,Not Graduate,No,0.0,4066.0,114.0,396.0,1.0,Semiurban
LP002472,Female,No,1,Not Graduate,No,14847.0,2076.0,239.0,345.0,1.0,Semiurban
LP001282,Male,No,0,Graduate,No,7751.0,0.0,96.0,332.0,1.0,Semiurban
LP002201,Male,Yes,2,Not Graduate,Yes,4094.0,0.0,250.0,335.0,1.0,Semiurban
LP001343,Female,Yes,2,Not Graduate,No,3458.0,0.0,250.0,437.0,0.0,Urban
LP002402,Male,No,3+,Graduate,Yes,6475.0,1718.0,177.0,400.0,0.0,Urban
LP001270,Male,Yes,0,Not Graduate,Yes,6547.0,3820.0,118.0,249.0,1.0,Semiurban
LP001469,Female,Yes,0,Not Graduate,No,2143.0,0.0,78.0,310.0,1.0,Semiurban
LP001242,Male,No,3+,Not Graduate,Yes,4250.0,0.0,0.0,348.0,2.0,Urban
LP001996,Female,Yes,1,Graduate,No,1944.0,0.0,184.0,201.0,1.0,Urban
LP001857,Male,Yes,1,Graduate,Yes,6141.0,2633.0,56.0,370.0,0.0,Urban
LP002126,Male,No,2,Not Graduate,Yes,979.0,0.0,67.0,287.0,1.0,Semiurban
LP002562,Male,Yes,0,Graduate,No,0.0,0.0,185.0,294.0,1.0,Semiurban
LP002332,Male,Yes,1,Not Graduate,Yes,13582.0,0.0,109.0,297.0,1.0,Urban
LP002064,Male,Yes,2,Not Graduate,No,4784.0,0.0,159.0,424.0,1.0,Urban
LP002237,Male,No,2,Not Graduate,Yes,14845.0,1637.0,178.0,382.0,1.0,Rural
LP001656,Male,No,2,Graduate,Yes,0.0,1018.0,267.0,313.0,1.0,Rural
LP002867,Male,Yes,1,Not Graduate,No,0.0,2805.0,158.0,306.0,0.0,Urban
LP001903,Female,Yes,1,Not Graduate,No,7838.0,1585.0,100.0,353.0,1.0,Urban
LP001560,Female,Yes,0,Not Graduate,No,4788.0,4361.0,137.0,446.0,1.0,Rural
LP002473,Male,No,0,Not Graduate,Yes,0.0,384.0,98.0,325.0,1.0,Semiurban
LP002008,Male,No,2,Not Graduate,No,11652.0,3288.0,288.0,221.0,2.0,Urban
LP001046,Female,No,2,Graduate,No,226.0,2466.0,171.0,353.0,0.0,Urban
LP001841,Male,Yes,1,Not Graduate,No,12006.0,799.0,188.0,360.0,1.0,Urban
LP001735,Male,Yes,1,Graduate,No,4779.0,3472.0,247.0,366.0,1.0,Semiurban
LP002344,Female,Yes,0,Not Graduate,Yes,0.0,0.0,77.0,340.0,1.0,Rural
LP002807,Male,Yes,0,Graduate,Yes,1371.0,4973.0,32.0,351.0,1.0,Semiurban
LP002524,Male,Yes,3+,Not Graduate,Yes,12994.0,0.0,141.0,278.0,1.0,Semiurban
LP001198,Female,No,0,Not Graduate,Yes,3484.0,0.0,32.0,413.0,1.0,Urban
LP002637,Male,Yes,1,Graduate,Yes,10717.0,0.0,111.0,308.0,2.0,Urban
