Customer_ID,Age,Gender,Region,Marital_Status,Annual_Income,Smoker,Vehicle_Type,Policy_Type,Policy_Tenure_Years,Annual_Premium,Risk_Score,Has_Claim,Claim_Amount,Base_Premium
1,56,Male,Midwest,Single,96077,No,Sports,Standard,29,1350,37,No,0,980
2,69,Male,Midwest,Divorced,94938,No,SUV,Premium,21,1765,32,No,0,1445
3,46,Female,West,Married,66888,No,Truck,Basic,7,760,23,No,0,530
4,32,Male,Midwest,Married,40937,No,Sedan,Premium,1,1430,17,No,0,1260
5,60,Female,West,Divorced,44993,Yes,Truck,Standard,27,2090,49,No,0,1600
6,25,Male,Midwest,Married,32669,No,Sedan,Premium,16,1375,15,No,0,1225
7,38,Female,West,Married,70341,No,Sedan,Basic,8,690,20,No,0,490
8,56,Female,West,Divorced,57220,Yes,Sedan,Basic,8,1650,47,No,0,1180
9,36,Male,Northeast,Married,56687,No,SUV,Basic,14,670,19,No,0,480
10,40,Male,Midwest,Single,61148,Yes,SUV,Basic,28,1510,41,No,0,1100
11,28,Male,Northeast,Divorced,36519,No,Truck,Basic,12,600,16,No,0,440
12,28,Male,South,Single,49500,No,Truck,Standard,8,1000,16,No,0,840
13,41,Female,Midwest,Single,58322,Yes,Truck,Standard,3,1915,41,No,0,1505
14,70,Male,Midwest,Single,100760,Yes,SUV,Standard,8,2180,53,No,0,1650
15,53,Female,Midwest,Married,102278,No,SUV,Basic,8,825,26,No,0,565
16,57,Male,Midwest,Divorced,48229,No,Sports,Premium,14,1855,47,Yes,1776,1385
17,41,Female,Northeast,Married,38204,No,Sedan,Standard,10,1115,21,No,0,905
18,20,Male,Northeast,Single,39524,No,Sedan,Basic,20,630,23,Yes,3620,400
19,39,Male,West,Single,71860,No,Sports,Standard,12,1195,30,No,0,895
20,70,Female,Northeast,Married,126384,No,Truck,Standard,16,1380,33,No,0,1050
21,19,Male,West,Single,44842,No,Sedan,Standard,23,915,12,No,0,795
22,41,Male,South,Married,71751,No,Sports,Standard,0,1315,41,Yes,675,905
23,61,Male,Northeast,Married,95908,No,Sedan,Premium,2,1695,29,No,0,1405
24,47,Male,West,Married,51289,No,SUV,Basic,2,765,23,No,0,535
25,55,Male,Midwest,Married,84594,No,SUV,Standard,28,1245,27,No,0,975
26,19,Female,South,Single,24151,No,SUV,Standard,20,915,12,No,0,795
27,38,Male,West,Married,55212,No,Truck,Premium,14,1490,20,No,0,1290
28,50,Female,South,Single,33767,No,SUV,Standard,4,1200,25,No,0,950
29,29,Male,Midwest,Single,29084,No,Truck,Standard,20,1005,16,No,0,845
30,39,Male,Midwest,Married,54638,No,Sedan,Premium,3,1495,20,No,0,1295
31,61,Female,West,Single,96178,No,Sedan,Standard,0,1295,29,No,0,1005
32,42,Female,West,Single,53705,No,Sedan,Premium,3,1520,21,No,0,1310
33,66,Female,Midwest,Single,96588,Yes,Sedan,Premium,25,2540,51,No,0,2030
34,44,Female,West,Married,56163,No,SUV,Basic,7,740,22,No,0,520
35,59,Female,Midwest,Single,70605,No,Sedan,Basic,28,875,28,No,0,595
36,45,Male,Northeast,Single,77233,No,SUV,Standard,20,1155,23,No,0,925
37,33,Female,West,Single,40292,Yes,Sedan,Basic,6,1445,38,No,0,1065
38,32,Female,South,Married,36756,No,Sedan,Standard,0,1130,27,Yes,10453,860
39,64,Male,Midwest,Married,139714,Yes,SUV,Premium,4,2520,50,No,0,2020
40,68,Male,Northeast,Married,108723,No,Truck,Standard,12,1360,32,No,0,1040
41,61,Female,West,Married,95583,No,SUV,Standard,27,1295,29,No,0,1005
42,72,Female,Midwest,Married,95272,No,Truck,Premium,25,1790,33,No,0,1460
43,69,Female,Northeast,Divorced,119116,No,Sports,Basic,11,1065,42,No,0,645
44,74,Male,West,Single,110896,No,SUV,Standard,26,1410,34,No,0,1070
45,20,Female,Midwest,Married,22960,Yes,Truck,Basic,7,1430,43,Yes,11735,1000
46,54,Male,Midwest,Married,108399,No,Sports,Basic,20,930,36,No,0,570
47,68,Male,Midwest,Married,70718,No,Truck,Premium,27,1760,32,No,0,1440
48,24,Male,West,Married,39965,No,SUV,Standard,16,960,14,No,0,820
49,38,Male,Northeast,Divorced,39327,No,Sports,Premium,29,1590,30,No,0,1290
50,26,Female,Midwest,Divorced,43321,No,Truck,Standard,1,980,15,No,0,830
51,56,Male,Northeast,Married,110099,No,SUV,Standard,21,1250,27,No,0,980
52,35,Male,Northeast,Married,37468,No,Truck,Standard,17,1065,19,No,0,875
53,21,Female,South,Married,40563,No,Sedan,Standard,8,935,13,No,0,805
54,42,Male,Northeast,Married,58109,No,Sedan,Standard,8,1120,21,No,0,910
55,31,Female,Northeast,Divorced,47398,Yes,Sedan,Standard,12,1825,37,No,0,1455
56,67,Male,Northeast,Married,54039,No,Sports,Premium,17,1845,41,No,0,1435
57,26,Female,Northeast,Single,43623,No,Sports,Premium,16,1480,25,No,0,1230
58,43,Male,Northeast,Married,52476,No,SUV,Premium,6,1535,22,No,0,1315
59,70,Male,West,Married,97774,No,Sports,Basic,6,1080,43,No,0,650
60,19,Female,South,Married,33870,No,Truck,Standard,18,915,12,No,0,795
61,37,Male,Midwest,Married,50652,No,Sports,Premium,1,1675,39,Yes,12299,1285
62,45,Male,South,Divorced,48665,No,Sports,Standard,15,1255,33,No,0,925
63,64,Female,South,Married,122320,No,Sports,Standard,24,1420,40,No,0,1020
64,24,Male,Midwest,Single,33458,No,Sedan,Standard,27,960,14,No,0,820
65,61,Male,Northeast,Married,85276,No,SUV,Standard,24,1295,29,No,0,1005
66,25,Female,Midwest,Single,42514,No,Sports,Standard,21,1075,25,No,0,825
67,64,Female,Northeast,Divorced,110772,No,SUV,Premium,22,1720,30,No,0,1420
68,52,Female,Midwest,Married,110259,No,Truck,Premium,1,1610,25,No,0,1360
69,31,Female,West,Divorced,41576,No,SUV,Standard,14,1025,17,No,0,855
70,34,Female,South,Single,40990,No,SUV,Basic,15,650,18,No,0,470
71,53,Male,Northeast,Single,84274,No,Sports,Premium,15,1725,36,No,0,1365
72,67,Female,South,Married,113861,No,Truck,Basic,5,945,31,No,0,635
73,57,Male,Northeast,Single,85710,No,Sedan,Standard,21,1255,27,No,0,985
74,21,Female,Midwest,Married,31979,No,Truck,Standard,28,1035,23,Yes,11195,805
75,19,Male,Midwest,Married,29929,No,Sedan,Standard,10,1015,22,Yes,8255,795
76,23,Male,Midwest,Married,33152,No,Sedan,Standard,23,955,14,No,0,815
77,71,Female,West,Single,92122,No,Sedan,Premium,8,1785,33,No,0,1455
78,59,Male,Midwest,Married,73548,No,Sedan,Basic,17,875,28,No,0,595
79,21,Male,Midwest,Married,26120,Yes,SUV,Standard,22,1735,33,No,0,1405
80,71,Female,West,Divorced,114293,No,Sedan,Basic,24,985,33,No,0,655
81,46,Female,South,Single,47494,No,SUV,Standard,5,1160,23,No,0,930
82,35,Female,South,Single,61612,No,Truck,Basic,22,665,19,No,0,475
83,43,Female,Northeast,Divorced,80168,No,Sedan,Premium,24,1635,32,Yes,4072,1315
84,61,Male,South,Single,100898,No,Sports,Premium,25,1795,39,No,0,1405
85,51,Male,Northeast,Married,51621,Yes,Sedan,Standard,3,2005,45,No,0,1555
86,27,Male,Northeast,Divorced,32260,No,Sedan,Standard,17,985,15,No,0,835
87,53,Male,South,Married,61015,No,Sedan,Standard,1,1225,26,No,0,965
88,31,Male,South,Single,33640,No,Sedan,Standard,12,1025,17,No,0,855
89,48,Male,West,Single,66975,No,Sports,Basic,0,880,34,No,0,540
90,65,Female,Northeast,Married,125285,No,Truck,Standard,8,1335,31,No,0,1025
91,32,Male,South,Married,57540,No,Sedan,Basic,25,630,17,No,0,460
92,25,Male,South,Single,44138,No,Sports,Basic,13,675,25,No,0,425
93,31,Male,West,Married,24284,Yes,Sports,Premium,3,2325,47,No,0,1855
94,40,Female,South,Married,81087,No,Truck,Standard,20,1110,21,No,0,900
95,74,Female,Midwest,Divorced,144717,Yes,Truck,Premium,3,2610,54,No,0,2070
96,57,Female,Midwest,Single,65139,No,Truck,Premium,19,1655,27,No,0,1385
97,38,Female,Northeast,Married,35744,No,Sports,Standard,28,1190,30,No,0,890
98,33,Male,West,Divorced,50782,Yes,SUV,Basic,14,1445,38,No,0,1065
99,62,Male,South,Married,131725,No,SUV,Basic,29,900,29,No,0,610
100,35,Male,Northeast,Married,57050,No,Sports,Premium,21,1565,29,No,0,1275
101,64,Female,South,Single,89798,No,Sedan,Standard,14,1320,30,No,0,1020
102,70,Male,Midwest,Single,105623,No,Sports,Standard,12,1580,53,Yes,4337,1050
103,41,Male,South,Married,71306,No,Sports,Standard,27,1215,31,No,0,905
104,43,Male,South,Single,54378,No,Truck,Basic,13,735,22,No,0,515
105,42,Female,South,Married,69636,Yes,Truck,Standard,27,1920,41,No,0,1510
106,62,Female,Midwest,Divorced,119012,No,Sedan,Basic,27,900,29,No,0,610
107,58,Female,Midwest,Single,68355,No,Sports,Standard,21,1470,48,Yes,1590,990
108,46,Male,West,Single,74439,No,Sedan,Standard,0,1160,23,No,0,930
109,32,Male,Midwest,Divorced,59776,No,Truck,Premium,0,1430,17,No,0,1260
110,62,Male,Northeast,Married,59872,No,Sports,Premium,22,1800,39,No,0,1410
111,18,Male,South,Married,25865,No,Sports,Basic,0,610,22,No,0,390
112,42,Female,Midwest,Married,52068,No,SUV,Standard,14,1120,21,No,0,910
113,24,Male,Northeast,Single,29109,No,Truck,Standard,0,960,14,No,0,820
114,26,Female,Midwest,Divorced,51254,No,Sedan,Basic,5,580,15,No,0,430
115,41,Male,South,Married,73055,No,Sports,Standard,23,1215,31,No,0,905
116,18,Female,Northeast,Single,33724,No,Truck,Basic,6,510,12,No,0,390
117,61,Male,Midwest,Single,110211,No,Sedan,Basic,21,895,29,No,0,605
118,25,Male,Midwest,Divorced,39535,No,SUV,Premium,28,1375,15,No,0,1225
119,41,Female,Northeast,Married,68574,No,Truck,Standard,22,1115,21,No,0,905
120,28,Female,West,Single,52262,No,Sedan,Basic,1,600,16,No,0,440
121,68,Male,Northeast,Single,99753,No,Sports,Standard,21,1460,42,No,0,1040
122,34,Male,Northeast,Single,58837,No,Truck,Standard,8,1050,18,No,0,870
123,25,Male,Northeast,Divorced,53488,No,SUV,Premium,3,1375,15,No,0,1225
124,52,Female,Northeast,Married,91307,Yes,Truck,Premium,17,2410,45,No,0,1960
125,52,Male,Midwest,Married,73529,No,Sedan,Standard,24,1210,25,No,0,960
126,50,Female,Northeast,Divorced,71095,No,Sedan,Standard,14,1200,25,No,0,950
127,22,Male,Northeast,Married,28662,No,Truck,Standard,23,1040,23,Yes,2105,810
128,59,Male,South,Married,63396,Yes,Truck,Premium,7,2475,48,No,0,1995
129,56,Male,Midwest,Divorced,32922,No,Sedan,Basic,6,850,27,No,0,580
130,58,Male,South,Single,68724,No,Sports,Premium,7,1770,38,No,0,1390
131,45,Female,Midwest,Divorced,62103,No,Sedan,Standard,26,1155,23,No,0,925
132,24,Female,West,Single,38295,No,Truck,Premium,26,1360,14,No,0,1220
133,26,Male,West,Married,43037,No,Sports,Standard,12,1080,25,No,0,830
134,25,Male,Midwest,Single,36357,No,SUV,Premium,2,1375,15,No,0,1225
135,29,Male,West,Divorced,40122,No,Sedan,Standard,28,1005,16,No,0,845
136,51,Female,West,Married,98933,No,SUV,Basic,5,805,25,No,0,555
137,50,Male,Midwest,Single,61321,Yes,Sports,Basic,29,1700,55,No,0,1150
138,65,Female,Northeast,Single,145998,No,SUV,Standard,6,1335,31,No,0,1025
139,72,Female,South,Married,86956,No,SUV,Standard,28,1390,33,No,0,1060
140,40,Female,Midwest,Married,56302,No,Sports,Basic,29,810,31,No,0,500
141,41,Female,Midwest,Married,55065,No,Sports,Premium,4,1615,31,No,0,1305
142,54,Male,Midwest,Married,67687,No,Sedan,Premium,17,1630,26,No,0,1370
143,52,Male,South,Married,57284,No,SUV,Premium,14,1710,35,Yes,10359,1360
144,61,Female,Midwest,Married,78309,No,Truck,Premium,25,1695,29,No,0,1405
145,57,Male,South,Married,117130,Yes,Truck,Standard,22,2055,47,No,0,1585
146,39,Male,South,Single,75557,No,Sports,Standard,26,1195,30,No,0,895
147,44,Male,West,Divorced,67745,No,Truck,Premium,1,1540,22,No,0,1320
148,52,Female,Northeast,Single,71741,Yes,Sedan,Standard,24,2010,45,No,0,1560
149,18,Male,West,Single,40095,No,Sports,Standard,28,1010,22,No,0,790
150,52,Male,Midwest,Married,51912,No,Sports,Standard,24,1410,45,Yes,4093,960
